scenario_id,outer_id,repeat,fold,candidate_rank,mean_test_r2,std_test_r2,mean_train_r2,std_train_r2,elapsed_grid_seconds_for_outer_fold,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
A_BMP_VS_all_features,1,1,1,12,0.35005173707822934,0.17048466937641976,0.8991717276394317,0.005252486743302421,38.956488847732544,7.0,0.7,1,2,50
A_BMP_VS_all_features,1,1,1,2,0.3608886708908302,0.17693929663338065,0.8967015805064363,0.011293380183808776,38.956488847732544,7.0,0.7,1,2,100
A_BMP_VS_all_features,1,1,1,4,0.3569191974108702,0.17991186350224414,0.8983242481441467,0.007744906921338979,38.956488847732544,7.0,0.7,1,2,150
A_BMP_VS_all_features,1,1,1,40,0.3332526670328725,0.16235281198364104,0.8538648181883948,0.00861836460410556,38.956488847732544,7.0,0.7,1,5,50
A_BMP_VS_all_features,1,1,1,38,0.33547297129857434,0.1650695442258939,0.8548585342451277,0.01332150254965685,38.956488847732544,7.0,0.7,1,5,100
A_BMP_VS_all_features,1,1,1,23,0.3399538740424557,0.1456183945890725,0.8553864993433455,0.01153628226021505,38.956488847732544,7.0,0.7,1,5,150
A_BMP_VS_all_features,1,1,1,136,0.31206796576950524,0.14664950512543146,0.7569599182399493,0.012237616589129743,38.956488847732544,7.0,0.7,1,10,50
A_BMP_VS_all_features,1,1,1,113,0.31747353902114184,0.15701040361092738,0.761564991923453,0.016800840387556408,38.956488847732544,7.0,0.7,1,10,100
A_BMP_VS_all_features,1,1,1,80,0.32338598761704895,0.1450623321064477,0.7608625076025861,0.015137914793265381,38.956488847732544,7.0,0.7,1,10,150
A_BMP_VS_all_features,1,1,1,120,0.3149815420053748,0.17323613028637472,0.8508730211591831,0.006769999580615039,38.956488847732544,7.0,0.7,2,2,50
A_BMP_VS_all_features,1,1,1,21,0.34202766750277896,0.17317347462634328,0.8492693494832324,0.013102548552422377,38.956488847732544,7.0,0.7,2,2,100
A_BMP_VS_all_features,1,1,1,17,0.3454007388671566,0.16423709543893147,0.848461173829343,0.011443999236974528,38.956488847732544,7.0,0.7,2,2,150
A_BMP_VS_all_features,1,1,1,58,0.32682277265164056,0.17802026221822836,0.8344328603314398,0.009836336832490277,38.956488847732544,7.0,0.7,2,5,50
A_BMP_VS_all_features,1,1,1,82,0.32209153405715935,0.19258026631894795,0.8319429906258945,0.01494565116763784,38.956488847732544,7.0,0.7,2,5,100
